file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
Empty_100_S111_trimmed_R1_001.fastq.gz	FASTQ	DNA	9908	2903364	0	293.0	301
Empty_100_S111_trimmed_R2_001.fastq.gz	FASTQ	DNA	9908	2767653	0	279.3	301
Empty_101_S112_trimmed_R1_001.fastq.gz	FASTQ	DNA	15530	4544913	0	292.7	301
Empty_101_S112_trimmed_R2_001.fastq.gz	FASTQ	DNA	15530	4295461	0	276.6	301
Empty_102_S115_trimmed_R1_001.fastq.gz	FASTQ	DNA	59758	17761091	0	297.2	301
Empty_102_S115_trimmed_R2_001.fastq.gz	FASTQ	DNA	59758	17389755	0	291.0	301
Empty_103_S120_trimmed_R1_001.fastq.gz	FASTQ	DNA	200115	59532742	0	297.5	301
Empty_103_S120_trimmed_R2_001.fastq.gz	FASTQ	DNA	200115	57900003	0	289.3	301
Empty_104_S124_trimmed_R1_001.fastq.gz	FASTQ	DNA	70644	21005439	0	297.3	301
Empty_104_S124_trimmed_R2_001.fastq.gz	FASTQ	DNA	70644	19718682	0	279.1	301
Empty_105_S126_trimmed_R1_001.fastq.gz	FASTQ	DNA	95382	28304076	0	296.7	301
Empty_105_S126_trimmed_R2_001.fastq.gz	FASTQ	DNA	95382	27641838	0	289.8	301
Empty_106_S127_trimmed_R1_001.fastq.gz	FASTQ	DNA	206721	61710470	0	298.5	301
Empty_106_S127_trimmed_R2_001.fastq.gz	FASTQ	DNA	206721	60654987	0	293.4	301
Empty_107_S128_trimmed_R1_001.fastq.gz	FASTQ	DNA	244286	72723973	0	297.7	301
Empty_107_S128_trimmed_R2_001.fastq.gz	FASTQ	DNA	244286	70745271	0	289.6	301
Empty_108_S130_trimmed_R1_001.fastq.gz	FASTQ	DNA	32546	9651571	0	296.6	301
Empty_108_S130_trimmed_R2_001.fastq.gz	FASTQ	DNA	32546	9254892	0	284.4	301
Empty_109_S131_trimmed_R1_001.fastq.gz	FASTQ	DNA	14132	4143675	0	293.2	301
Empty_109_S131_trimmed_R2_001.fastq.gz	FASTQ	DNA	14132	3949233	0	279.5	301
Empty_10_S10_trimmed_R1_001.fastq.gz	FASTQ	DNA	2	602	301	301.0	301
Empty_10_S10_trimmed_R2_001.fastq.gz	FASTQ	DNA	2	602	301	301.0	301
Empty_110_S141_trimmed_R1_001.fastq.gz	FASTQ	DNA	11566	3396939	0	293.7	301
Empty_110_S141_trimmed_R2_001.fastq.gz	FASTQ	DNA	11566	3230507	0	279.3	301
Empty_111_S143_trimmed_R1_001.fastq.gz	FASTQ	DNA	189115	56430780	0	298.4	301
Empty_111_S143_trimmed_R2_001.fastq.gz	FASTQ	DNA	189115	55432825	0	293.1	301
Empty_112_S147_trimmed_R1_001.fastq.gz	FASTQ	DNA	120098	35770235	0	297.8	301
Empty_112_S147_trimmed_R2_001.fastq.gz	FASTQ	DNA	120098	35122033	0	292.4	301
Empty_113_S150_trimmed_R1_001.fastq.gz	FASTQ	DNA	88950	26490762	0	297.8	301
Empty_113_S150_trimmed_R2_001.fastq.gz	FASTQ	DNA	88950	25738211	0	289.4	301
Empty_114_S152_trimmed_R1_001.fastq.gz	FASTQ	DNA	189976	56553687	0	297.7	301
Empty_114_S152_trimmed_R2_001.fastq.gz	FASTQ	DNA	189976	54163131	0	285.1	301
Empty_115_S153_trimmed_R1_001.fastq.gz	FASTQ	DNA	97585	29017923	0	297.4	301
Empty_115_S153_trimmed_R2_001.fastq.gz	FASTQ	DNA	97585	28401333	0	291.0	301
Empty_116_S155_trimmed_R1_001.fastq.gz	FASTQ	DNA	151189	45050468	0	298.0	301
